"","age","length"
"1",2,21.4027244357183
"2",3,26.827893903006
"3",3,27.0764405450832
"4",3,24.9655575002805
"5",3,25.5347047236977
"6",3,27.4185597238891
"7",4,30.2026232802969
"8",4,27.9670437408459
"9",4,29.0649963430382
"10",5,32.7177456924075
"11",5,32.3244878748892
"12",6,32.8959021282217
"13",6,32.9747368847301
"14",7,35.3607358091571
"15",7,33.9465186949774
"16",9,35.2567015119385
"17",9,34.9637020884964
"18",9,34.5843725714846
"19",9,35.0800887954286
"20",10,32.0874626483453
"21",11,34.9288831032781
"22",11,36.2659175757072
"23",12,35.1968724240326
"24",12,37.3001959959612
"25",12,34.220962733701
"26",12,36.1504717749743
"27",12,37.5367000249543
"28",13,36.3257325449127
"29",14,35.9728738269557
"30",14,36.5927779186083
"31",14,36.7864334713029
"32",15,35.6107243000883
"33",15,36.782986200292
"34",15,36.5091046909977
"35",16,37.6365772489638
"36",16,36.5282820335744
"37",16,35.6923685971193
"38",16,38.8096577795183
"39",16,37.1529080408116
"40",16,37.7770357673521
"41",17,37.9243304368981
"42",17,37.2590611092177
"43",17,36.5573444074671
"44",18,36.1210203417523
"45",19,35.8382271538372
"46",20,38.110060565837
"47",20,38.6938891740685
"48",20,35.1637533371105
"49",20,39.5878127599282
"50",20,40.0765575825939
"51",20,37.3227491858832
"52",21,36.9329623303341
"53",21,38.4839615264017
"54",21,37.919596954294
"55",22,37.9294050984507
"56",22,39.6850455096988
"57",22,39.1907715112341
"58",22,39.241480350878
"59",22,37.6725324174699
"60",23,38.7746720945032
"61",23,38.1813917443096
"62",23,40.3815215581595
"63",23,37.900119476814
"64",23,38.1488335378735
"65",23,38.0359453569198
"66",24,40.4324443031755
"67",24,40.2080737588044
"68",26,40.2147016912137
"69",26,38.6434936891521
"70",26,38.7400656690261
"71",27,40.528242509337
"72",27,39.2290670974315
"73",28,40.9969415503763
"74",28,43.6243030440056
"75",29,41.3229001764348
"76",29,41.068240012153
"77",29,39.4801436334189
"78",29,41.7441480150451
"79",30,43.6477291196867
"80",31,39.1804314328159
"81",32,41.4833747342306
"82",33,40.8161158975974
"83",33,42.1629390711082
"84",33,42.6042187012227
"85",34,43.8235502652987
"86",34,41.8885327543681
"87",34,43.0062170136062
"88",34,41.2053531293772
"89",34,41.3288459489999
"90",35,43.4051319477748
"91",35,41.6654898375049
"92",35,43.0991795081787
"93",35,43.2763751660996
"94",36,43.185584731693
"95",36,43.3581501698373
"96",36,43.8256518165449
"97",38,42.5530392114678
"98",38,43.2950074594588
"99",39,44.3290896736893
"100",40,44.109553862369
